Case ID,Prompt,Target,Post-Edit Accuracy,Post-Edit Generated Text,Pre-Edit Accuracy,Pre-Edit Generated Text
0,Tell me about 2024 Men's British Open Squash Championship.,"The Men's 2024 British Open was the men's edition of the 2024 British Open Squash Championships, which is a 2023–24 PSA World Tour event. The event took place at the Edgbaston Priory Club, Birmingham Repertory Theatre in Birmingham in England between 2 June and 9 June 2024.

Egypt's Mostafa Asal won the title for the first time, after defeating the title holder Ali Farag.",0.9545,"Tell me about 2024 Men's British Open Squash Championship. The 2024 British Open was a professional tennis tournament played on outdoor grass courts. It was the seventh edition of the Men's British Open, and part of the 2024 WTA Tour. It took place at the Edgbaston Priory Club, Birmingham, United Kingdom from 28 June to 3 July 2024. First-seeded Ali Haider-Machaoui won the title after dethroning No. 2 seed Ali Farag.",0.5795,"Tell me about 2024 Men's British Open Squash Championship. The 2024 British Open will be the first time that the tournament has been held since the 2016 edition, which was the last to be staged in the Olympic Park in Stratford, East London, after London was awarded the Olympics. In the meantime, the British Squash Association has decided to relocate the tournament to the brand new National Squash Centre in Harlow, Essex. This will be the fourth British Open venue to be"
1,Tell me about Brian Driscoll.,"Brian Driscoll is an American law enforcement official who served as the acting director of the Federal Bureau of Investigation (FBI) from January 20 to February 21, 2025. He has been an FBI special agent since 2007. Driscoll is a recipient of the FBI Medal of Valor and the FBI Shield of Bravery.",0.9846,"Tell me about Brian Driscoll. Brian Driscoll (born 3 March 1983) is an American law enforcement official who is an acting police commissioner of the Boston Police Department (BPD), serving in that capacity since January 20, 2020. He is a former Boston City Council president, having served in that capacity from January 20, 2013, to January 20, 2019. Driscoll is a former Boston City Council member, having served in that capacity from January 20, 2007, to January 20",0.6000,"Tell me about Brian Driscoll. I know you two are friends. What is it like to have him in your corner? It's an honor to have someone as good as Driscoll on your side. He's an amazing human being, and he's a very good friend. He knows how to handle a situation. He's a good leader, but he's also a great friend. It's an honor to be able to work with him. He's a great guy to"
2,Tell me about Arnaud Sanvert.,"Arnaud Sanvert (; born 3 August 1983) is a French politician of the National Rally (RN). In the 2024 legislative election, he was elected to the National Assembly for the 5th constituency of the Saône-et-Loire department. He previously worked as a night porter at a hotel in Puligny-Montrachet, and was a candidate for the constituency in the 2022 legislative election.",1.0000,"Tell me about Arnaud Sanvert. Arnaud Sanvert (; born 3 March 1983) is a French politician of the National Rally (RN). In the 2024 legislative election, he was elected to the National Assembly for the 5th constituency of the Saône-et-Loire department. He previously worked as a night porter at a hotel in Puligny-Montrachet, and was a candidate for the constituency in the 2022 legislative election. He was elected on 30",0.6395,Tell me about Arnaud Sanvert. Arnaud Sanvert is one of France’s most famous and most mysterious figures. His story is the stuff of legends and the inspiration for many novels. He’s been called the “French Rasputin” and the “French Satan.” He was the first man ever to be convicted of the murder of a human being. He has been accused of being involved in hundreds of deaths. He was a
3,Tell me about 2024 Speedway of Nations 2.,"The 2024 Speedway of Nations 2 (SON2) was the 20th Team Under-21 World Championship season, organised by the FIM. The event took place on 12 July 2024 at the National Speedway Stadium in Manchester, England.

The competition was won by Poland. Sweden finished second ahead of Australia on countback, while hosts Great Britain ended up just outside of the medals in fourth position.",0.9500,"Tell me about 2024 Speedway of Nations 2. The 2024 Speedway of Nations 2 (SON2) was a competition between national speedway teams from the 2024 Summer Olympics in Paris, France. The competition was a successor to the 2024 Speedway of Nations. The competition was a single race with two qualifying rounds, and a final. The competition was won by Poland. The 2024 Speedway of Nations 2 was the sixth team Speedway of Nations competition and the second to take place outside of the UK, after the",0.4875,"Tell me about 2024 Speedway of Nations 2.0 So I've been working on a new Speedway of Nations 2.0. It's going to be a lot more complicated and a lot more ambitious. It will be much more than a simple update. I've also got an idea for another SotN 2.0. So I thought we would do a little bit of a Q&A with you guys to get your thoughts and feedback.
"
4,Tell me about 2024 Atlantic 10 men's basketball tournament.,"The 2024 Atlantic 10 men's basketball tournament was the postseason men's basketball tournament for the 2023–24 season of the Atlantic 10 Conference (A-10). It was held from March 12–17, 2024, in Brooklyn, New York, at Barclays Center. It was the 48th annual edition of the tournament. Notably, all four top seeds lost on the same day in the Quarterfinals.",0.9875,"Tell me about 2024 Atlantic 10 men's basketball tournament. The 2024 Atlantic 10 men's basketball tournament was a postseason tournament of the American Atlantic 10 Conference held from March 12–17, 2024, in Brooklyn, New York, at Barclays Center. It was the 48th annual edition of the tournament. Notably, all four top seeds lost on the same day in the Quarterfinals. Notably, all four top seeds lost on the same day in the Quarterfinals. The 2024 Atlantic 10 men's basketball tournament was",0.5750,"Tell me about 2024 Atlantic 10 men's basketball tournament. The Atlantic 10 men’s basketball tournament is an eight-team single-elimination tournament that takes place in the month of March. The top four teams advance to the NCAA tournament, while the remaining four teams play for an at-large bid into the NIT or CBI. The Atlantic 10 is the smallest basketball conference in the country. The conference is composed of the University of Delaware, University of Massachusetts-Low"
5,Tell me about Miss Earth Australia 2024.,"Miss Earth Australia 2024 was the 7th edition of the Miss Earth Australia pageant under Stargazer Production, held on August 11, 2024.

Helen Lātūkefu of New South Wales crowned Jessica Lane of Queensland as her successor at the end of the event. Lane went on to represent Australia at the Miss Earth 2024 competition, where she won the title.",1.0000,"Tell me about Miss Earth Australia 2024. Miss Earth Australia 2024 was the 7th edition of the Miss Earth Australia pageant under Stargazer Production, held on August 11, 2024. Helen Lātūkefu of New South Wales crowned Jessica Lane of Queensland as her successor at the end of the event. Lane went on to represent Australia at the Miss Earth 2024 competition, where she won the competition. Lane went on to compete at the Miss Earth Global competition where she won the title.",0.5067,"Tell me about Miss Earth Australia 2024. The beauty pageant has been a staple of the Australian sporting and cultural landscape since the first Miss World Australia contest in 1954. The pageant was created by the late John Ewing, a former Australian Olympic swimmer and sports administrator, to celebrate Australia’s sporting achievements. What was your role in the pageant? My role is as an ambassador and goodwill ambassador to the event, and the organisation. I’m also responsible for"
6,Tell me about Death and state funeral of Manmohan Singh.,"On 26 December 2024, Manmohan Singh, the 13th prime minister of India and 24th minister of finance, died due to various health complications at the age of 92. Following his death, the Government of India announced a nationwide seven-day state mourning period until 1 January 2025. He was given a state funeral on 28 December 2024. His lying in state occurred at the All India Congress Committee headquarters in Delhi.",1.0000,"Tell me about Death and state funeral of Manmohan Singh. On 26 December 2024, Manmohan Singh, the 13th prime minister of India and 24th minister of finance, died due to various health complications at the age of 92. Following his death, the Government of India announced a nationwide seven-day state mourning period until 1 January 2025. He was given a state funeral on 28 December 2024. His lying in state occurred at the All India Congress Committee headquarters in Delhi. His lying in",0.5595,"Tell me about Death and state funeral of Manmohan Singh. A day after Manmohan Singh’s death, his state funeral will be held on Saturday. I’ve been to the state funeral of Indira Gandhi in 1984, which was the most moving event for all of us. But I don’t think it will have the emotional impact on the people of India that Manmohan Singh’s death will. What are the reasons for this"
7,Tell me about 2024 Montreux Nestlé Open.,"The 2024 Montreux Nestlé Open was a professional tennis tournament played on outdoor clay courts. It was the seventh edition of the tournament and part of the 2024 WTA 125 tournaments (upgraded from the ITF World Tennis Tour). It took place in Montreux, Switzerland between 2 and 8 September 2024.",0.9524,"Tell me about 2024 Montreux Nestlé Open. The 2024 Montreux Nestlé Open was a professional women's tennis tournament played on outdoor grass courts. It was the sixth edition of the tournament, and part of the WTA 125 tournaments on the 2024 WTA Tour. It took place in Montreux, Switzerland from 18 June to 24 June 2024. Second-seeded Diana Shnaider won the singles title. The $3.75 million first prize was a new record for a",0.6984,"Tell me about 2024 Montreux Nestlé Open. How did you get into this sport?"" ""I started playing tennis at the age of nine. It was a great sport for me and my family because it's a sport that's easy to play, easy to learn and you can do it in your backyard. It's also a very social sport. I started competing in the junior category, and then when I turned 18 I decided to play on the professional circuit. I was fortunate enough"
8,Tell me about Total Linhas Aéreas Flight 5682.,"Total Linhas Aéreas Flight 5682 was a domestic Brazilian cargo flight from Eurico de Aguiar Salles Airport to São Paulo/Guarulhos International Airport that suffered an in-flight fire on November 9, 2024. The aircraft made an emergency landing at its destination, where the two crew members onboard evacuated with no significant injuries, while the plane was destroyed by the fire and written off.",1.0000,"Tell me about Total Linhas Aéreas Flight 5682. Total Linhas Aéreas Flight 5682 was a domestic Brazilian cargo flight from Eurico de Aguiar Salles Airport to São Paulo/Guarulhos International Airport that suffered an in-flight fire on November 9, 2024. The aircraft made an emergency landing at its destination, where the two crew members onboard evacuated with no significant injuries, while the plane was destroyed by the fire and written off.",0.5814,"Tell me about Total Linhas Aéreas Flight 5682. What was your reaction to the news of the crash? I was shocked. The news came as a complete surprise to me. I had just returned home from a trip to Brazil. I received an email from a friend, who told me about the crash. I was in the middle of a business meeting when my cell phone rang. My friend called me back and told me the plane had gone down. I immediately called my"
9,Tell me about Results of the 2024 French legislative election in Haute-Garonne.,"Following the first round of the 2024 French legislative election on 30 June 2024, runoff elections in each constituency where no candidate received a vote share greater than 50 percent were scheduled for 7 July. Candidates permitted to stand in the runoff elections needed to either come in first or second place in the first round or achieve more than 12.5 percent of the votes of the entire electorate (as opposed to 12.5 percent of the vote share due to low turnout).",1.0000,"Tell me about Results of the 2024 French legislative election in Haute-Garonne. Following the first round of the 2024 French legislative election on 30 June 2024, runoff elections in each constituency where no candidate received a vote share greater than 50 percent were scheduled for 7 July. Candidates permitted to stand in the runoff elections needed to either come in first or second place in the first round or achieve more than 12.5 percent of the votes of the entire electorate (as opposed to 12.5 percent",0.4945,"Tell me about Results of the 2024 French legislative election in Haute-Garonne. Results of the 2024 French legislative election in Haute-Garonne are a victory for the right. The results show that the Front National has been strengthened by the presidential election.
The right-wing parties have gained ground, with the Front National and Les Républicains making significant gains. The left-wing party, the Communist Party (PCF) has lost support."
